INDEX,REGION,DISTRICT,SOURCE NAME,SOURCE TYPE,SETTLEMENT,LONG,LAT,,,
1,Lower Jubba,Afmadow,Fanole,Borehole,Fanole,0.513611,42.033056,,,
2,Lower Jubba,Afmadow,Siigaale,Borehole,Qooqaani,0.2766111,41.7171374,,,
3,Lower Jubba,Afmadow,Towfiq,Borehole,Afmadow,0.5033549,42.065899,,,
4,Lower Jubba,Afmadow,Afmadow Borehole ,Borehole,Afmadow,0.5213612,42.0833257,,,
5,Lower Jubba,Afmadow,Dodowajo,Borehole,Afmadow,0.4554406,42.0842377,,,
6,Lower Jubba,Afmadow,Mido,Borehole,Mido,0.3092337,42.1502431,,,
7,Lower Jubba,Afmadow,Waystation,Borehole,Afmadow,0.5178889,42.0700975,,,
8,Lower Jubba,Afmadow,Towfiq 1,Shallow Well,Afmadow,0.5077,42.0691,,,
9,Lower Jubba,Afmadow,Cilanle,Shallow Well,Afmadow,0.5211,42.0749,,,
10,Lower Jubba,Afmadow,Tuware,Shallow Well,Afmadow,0.5119,42.0768,,,
11,Lower Jubba,Afmadow,Haji Ali Shallow well,Shallow Well,Afmadow,0.5202,42.0749,,,
12,Lower Jubba,Afmadow,Babeyle shallow well ,Shallow Well,Afmadow,0.5199,42.0768,,,
13,Lower Jubba,Afmadow,Kabxanle shallow well ,Shallow Well,Afmadow,0.5202,42.076,,,
14,Lower Jubba,Afmadow,Anfac shallow well ,Shallow Well,Afmadow,0.5203,42.0751,,,
15,Lower Jubba,Afmadow,Larg Shallow well,Shallow Well,Afmadow,0.5199,42.0756,,,
16,Lower Jubba,Afmadow,Abdinoor Shallow well,Shallow Well,Afmadow,0.5203,42.0753,,,
17,Lower Jubba,Afmadow,Ceyn shallow well,Shallow Well,Afmadow,0.5213,42.0761,,,
18,Lower Jubba,Afmadow,Heylow Shallow well ,Shallow Well,Afmadow,0.5211,42.076,,,
19,Gedo,Baardheere,Iftin IDPs,Shallow Well,Baardheere,2.351868,42.291921,,,
20,Gedo,Baardheere,Bulo-asharaf,Shallow Well,Baardheere,2.355745,42.237155,,,
21,Gedo,Baardheere,Come gedi,Shallow Well,Baardheere,2.352884,42.287381,,,
22,Gedo,Baardheere,Gurman,Shallow Well,Baardheere,2.333142,42.285056,,,
23,Gedo,Baardheere,Bulacasan,Shallow Well,Baardheere,2.360364,42.293736,,,
24,Gedo,Baardheere,Bulo Garas,Shallow Well,Baardheere,2.344857,42.28307,,,
25,Gedo,Baardheere,Hela baneed,Shallow Well,Baardheere,2.3421146,42.2852429,,,
26,Gedo,Baardheere,Jaale siyaad primary school,Shallow Well,Baardheere,2.340152,42.283047,,,
27,Gedo,Baardheere,Kurmaan village,Shallow Well,Baardheere,2.33851,42.2854836,,,
28,Gedo,Baardheere,Suuqyare,Shallow Well,Baardheere,2.340597,42.28152,,,
29,Gedo,Baardheere,Mutulow,Shallow Well,Baardheere,2.3652,42.279282,,,
30,Gedo,Baardheere,Buulo Asharaaf,Shallow Well,Baardheere,2.331272,42.270187,,,
31,Gedo,Baardheere,Kurmaan danyar,Shallow Well,Baardheere,2.308901,42.264395,,,
32,Gedo,Baardheere,Comp Libaan,Shallow Well,Baardheere,2.339512,42.282047,,,
33,Gedo,Baardheere,Comp tawakal,Shallow Well,Baardheere,2.36026,42.280241,,,
34,Gedo,Baardheere,Bulo baraka,Shallow Well,Baardheere,2.354842,42.28233,,,
35,Gedo,Baardheere,Horseed IDP,Shallow Well,Baardheere,2.3384,42.278359,,,
36,Gedo,Baardheere,Habaal Adey,Shallow Well,Baardheere,2.342015,42.285263,,,
37,Gedo,Badhaadhe,Hassan Abdi karin,Water pan,Kolbiyow,-1.139276,41.227346,,,
38,Lower Jubba,Badhaadhe,Hoosingo,Borehole,Hoosingo,-0.1712244,41.2702726,,,
39,Lower Jubba,Badhaadhe,Waraq,Borehole,Waraq,-0.4151958,41.0074475,,,
40,Lower Jubba,Badhaadhe,Kolbiyow,Shallow Well,Badhaadhe,-1.139276,41.227346,,,
41,Lower Jubba,Badhaadhe,Kamboni water source,Shallow Well,Badhaadhe,-1.032342,41.974786,,,
42,Lower Jubba,Badhaadhe,Kudha ,Shallow Well,Badhaadhe,-1.028627,41.977448,,,
43,Lower Jubba,Badhaadhe,Burgabo,Shallow Well,Badhaadhe,-1.216756,41.837379,,,
44,Lower_juba,Badhaadhe,Kamboni water source,Barkad,Raskamboni,-1.032342,41.974786,,,
45,Lower_juba,Badhaadhe,Kudha ,Barkad,Kudhaa,-1.028627,41.977448,,,
46,Lower_juba,Badhaadhe,Burgabo,Barkad,Burgabo ,-1.216756,41.837379,,,
47,Gedo,Beledxaawo,Horsed,Shallow Well,Beledxaawo,3.4728,42.3244,,,
48,Gedo,Beledxaawo,Dhabad,Shallow Well,Beledxaawo,3.4738,42.324111,,,
49,Gedo,Beledxaawo,Farjano,Shallow Well,Beledxaawo,3.485,42.33324,,,
50,Gedo,Beledxaawo,Bewasco,Shallow Well,Beledxaawo,3.982,41.90662,,,
51,Gedo,Beledxaawo,Ceelka Axmed Qoorgaab,Shallow Well,Beledxaawo,3.9295164,41.877303,,,
52,Gedo,Beledxaawo,Ceelka omar dahir,Shallow Well,Beledxaawo,3.9303389,41.8758961,,,
53,Gedo,Beledxaawo,Ceelka ree shekh hassan,Shallow Well,Beledxaawo,3.9303385,41.8758963,,,
54,Gedo,Beledxaawo,Ceelka ree shekh hassan,Shallow Well,Beledxaawo,3.9304495,41.8758451,,,
55,Gedo,Beledxaawo,Ceelka Hassan,Shallow Well,Beledxaawo,3.9293675,41.8757513,,,
56,Gedo,Beledxaawo,Ceelka carabo,Shallow Well,Beledxaawo,3.9327236,41.8807166,,,
57,Gedo,Beledxaawo,malka-riyey sw1,Shallow Well,Beledxaawo,3.98210917,41.90656861,,,
58,Gedo,Beledxaawo,malka-riyey sw2,Shallow Well,Beledxaawo,3.98191472,41.90642222,,,
